exp,Kp,u,t,i
15,1.0975609756097562,7.777777777777778,0.9776744842529297,-0.04
15,1.0975609756097562,7.777777777777778,0.9817259311676025,0.04
15,1.0975609756097562,7.777777777777778,0.9858419895172119,-0.02
15,1.0975609756097562,7.777777777777778,0.9899024963378906,-0.06
15,1.0975609756097562,7.777777777777778,0.9942741394042969,0.05
15,1.0975609756097562,7.777777777777778,0.998568058013916,-0.08
15,1.0975609756097562,7.777777777777778,1.002610445022583,1.83
15,1.0975609756097562,7.777777777777778,1.0106747150421143,2.49
15,1.0975609756097562,7.777777777777778,1.0147180557250977,2.82
15,1.0975609756097562,7.777777777777778,1.0193383693695068,2.77
15,1.0975609756097562,7.777777777777778,1.0236570835113525,2.75
15,1.0975609756097562,7.777777777777778,1.0276939868927002,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.0318832397460938,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.036285638809204,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.0412137508392334,2.75
15,1.0975609756097562,7.777777777777778,1.0447733402252197,2.77
15,1.0975609756097562,7.777777777777778,1.049140214920044,2.7800000000000002
15,1.0975609756097562,7.777777777777778,1.0526113510131836,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.0571422576904297,2.75
15,1.0975609756097562,7.777777777777778,1.0606708526611328,2.75
15,1.0975609756097562,7.777777777777778,1.0651485919952393,2.77
15,1.0975609756097562,7.777777777777778,1.068547248840332,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.0723981857299805,2.75
15,1.0975609756097562,7.777777777777778,1.0764601230621338,2.75
15,1.0975609756097562,7.777777777777778,1.080507755279541,2.74
15,1.0975609756097562,7.777777777777778,1.0845189094543457,2.75
15,1.0975609756097562,7.777777777777778,1.0884346961975098,2.75
15,1.0975609756097562,7.777777777777778,1.0924599170684814,2.75
15,1.0975609756097562,7.777777777777778,1.0964922904968262,2.75
15,1.0975609756097562,7.777777777777778,1.1004340648651123,2.73
15,1.0975609756097562,7.777777777777778,1.1045629978179932,2.75
15,1.0975609756097562,7.777777777777778,1.1087143421173096,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.1127736568450928,2.75
15,1.0975609756097562,7.777777777777778,1.1168179512023926,2.75
15,1.0975609756097562,7.777777777777778,1.1206934452056885,2.75
15,1.0975609756097562,7.777777777777778,1.124589443206787,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.1291229724884033,2.75
15,1.0975609756097562,7.777777777777778,1.1328089237213135,2.75
15,1.0975609756097562,7.777777777777778,1.137136697769165,2.74
15,1.0975609756097562,7.777777777777778,1.1407241821289062,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.1445083618164062,2.75
15,1.0975609756097562,7.777777777777778,1.1485254764556885,2.75
15,1.0975609756097562,7.777777777777778,1.1528651714324951,2.74
15,1.0975609756097562,7.777777777777778,1.156771183013916,2.75
15,1.0975609756097562,7.777777777777778,1.1606402397155762,2.75
15,1.0975609756097562,7.777777777777778,1.164989948272705,2.77
15,1.0975609756097562,7.777777777777778,1.1686999797821045,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.1726887226104736,2.75
15,1.0975609756097562,7.777777777777778,1.1765940189361572,2.75
15,1.0975609756097562,7.777777777777778,1.180647850036621,2.75
15,1.0975609756097562,7.777777777777778,1.1849696636199951,2.74
15,1.0975609756097562,7.777777777777778,1.189239501953125,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.1931893825531006,2.73
15,1.0975609756097562,7.777777777777778,1.1966021060943604,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.2009773254394531,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.2050213813781738,2.75
15,1.0975609756097562,7.777777777777778,1.2091271877288818,2.73
15,1.0975609756097562,7.777777777777778,1.2130937576293945,2.74
15,1.0975609756097562,7.777777777777778,1.2170391082763672,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.2208013534545898,2.75
15,1.0975609756097562,7.777777777777778,1.2248175144195557,2.75
15,1.0975609756097562,7.777777777777778,1.2291679382324219,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.233186960220337,2.75
15,1.0975609756097562,7.777777777777778,1.236661672592163,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.2404210567474365,2.74
15,1.0975609756097562,7.777777777777778,1.244457721710205,2.75
15,1.0975609756097562,7.777777777777778,1.2484955787658691,2.75
15,1.0975609756097562,7.777777777777778,1.2525737285614014,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.2570555210113525,2.75
15,1.0975609756097562,7.777777777777778,1.2607297897338867,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.2650847434997559,2.75
15,1.0975609756097562,7.777777777777778,1.2690680027008057,2.75
15,1.0975609756097562,7.777777777777778,1.2726147174835205,2.75
15,1.0975609756097562,7.777777777777778,1.2765932083129883,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.2805969715118408,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.2848474979400635,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.289090871810913,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.2930688858032227,2.74
15,1.0975609756097562,7.777777777777778,1.2967720031738281,2.75
15,1.0975609756097562,7.777777777777778,1.3004958629608154,2.75
15,1.0975609756097562,7.777777777777778,1.3045001029968262,2.75
15,1.0975609756097562,7.777777777777778,1.3086063861846924,2.75
15,1.0975609756097562,7.777777777777778,1.3126883506774902,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.3167228698730469,2.75
15,1.0975609756097562,7.777777777777778,1.3207118511199951,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.3246824741363525,2.75
15,1.0975609756097562,7.777777777777778,1.328932523727417,2.75
15,1.0975609756097562,7.777777777777778,1.3331248760223389,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.3367743492126465,2.75
15,1.0975609756097562,7.777777777777778,1.3408870697021484,2.77
15,1.0975609756097562,7.777777777777778,1.3451664447784424,2.75
15,1.0975609756097562,7.777777777777778,1.3491449356079102,2.75
15,1.0975609756097562,7.777777777777778,1.3527774810791016,2.75
15,1.0975609756097562,7.777777777777778,1.3571369647979736,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.360619068145752,2.75
15,1.0975609756097562,7.777777777777778,1.3647544384002686,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.3686683177947998,2.74
15,1.0975609756097562,7.777777777777778,1.3729219436645508,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.376619577407837,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.3811371326446533,2.75
15,1.0975609756097562,7.777777777777778,1.3847737312316895,2.75
15,1.0975609756097562,7.777777777777778,1.3886518478393555,2.75
15,1.0975609756097562,7.777777777777778,1.3931536674499512,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.3967089653015137,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.4005773067474365,2.75
15,1.0975609756097562,7.777777777777778,1.404555082321167,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.4087321758270264,2.75
15,1.0975609756097562,7.777777777777778,1.4127099514007568,2.75
15,1.0975609756097562,7.777777777777778,1.416710376739502,2.75
15,1.0975609756097562,7.777777777777778,1.4206793308258057,2.75
15,1.0975609756097562,7.777777777777778,1.4246842861175537,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.4286773204803467,2.75
15,1.0975609756097562,7.777777777777778,1.4327220916748047,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.4369258880615234,2.73
15,1.0975609756097562,7.777777777777778,1.4410841464996338,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.4451875686645508,2.72
15,1.0975609756097562,7.777777777777778,1.448765754699707,2.75
15,1.0975609756097562,7.777777777777778,1.4530577659606934,2.75
15,1.0975609756097562,7.777777777777778,1.457155704498291,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.4607172012329102,2.7800000000000002
15,1.0975609756097562,7.777777777777778,1.4645488262176514,2.75
15,1.0975609756097562,7.777777777777778,1.4691212177276611,2.75
15,1.0975609756097562,7.777777777777778,1.4731464385986328,2.75
15,1.0975609756097562,7.777777777777778,1.4771466255187988,2.75
15,1.0975609756097562,7.777777777777778,1.4811468124389648,2.75
15,1.0975609756097562,7.777777777777778,1.4847791194915771,2.75
15,1.0975609756097562,7.777777777777778,1.4891302585601807,2.74
15,1.0975609756097562,7.777777777777778,1.4931375980377197,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.4965827465057373,2.75
15,1.0975609756097562,7.777777777777778,1.5005273818969727,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.504528522491455,2.77
15,1.0975609756097562,7.777777777777778,1.508699655532837,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.51316499710083,2.75
15,1.0975609756097562,7.777777777777778,1.516796588897705,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.5207114219665527,2.75
15,1.0975609756097562,7.777777777777778,1.5246524810791016,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.5286831855773926,2.75
15,1.0975609756097562,7.777777777777778,1.5325758457183838,2.75
15,1.0975609756097562,7.777777777777778,1.5364501476287842,2.75
15,1.0975609756097562,7.777777777777778,1.5403871536254883,2.75
15,1.0975609756097562,7.777777777777778,1.5443906784057617,2.75
15,1.0975609756097562,7.777777777777778,1.548370122909546,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.5524530410766602,2.77
15,1.0975609756097562,7.777777777777778,1.5564303398132324,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.5604493618011475,2.77
15,1.0975609756097562,7.777777777777778,1.5644524097442627,2.75
15,1.0975609756097562,7.777777777777778,1.5690762996673584,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.5725021362304688,2.75
15,1.0975609756097562,7.777777777777778,1.577157735824585,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.5811245441436768,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.5850927829742432,2.75
15,1.0975609756097562,7.777777777777778,1.5891036987304688,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.5931322574615479,2.75
15,1.0975609756097562,7.777777777777778,1.5971102714538574,2.75
15,1.0975609756097562,7.777777777777778,1.6004638671875,2.75
15,1.0975609756097562,7.777777777777778,1.6045348644256592,2.74
15,1.0975609756097562,7.777777777777778,1.609083652496338,2.75
15,1.0975609756097562,7.777777777777778,1.6126580238342285,2.75
15,1.0975609756097562,7.777777777777778,1.6166603565216064,2.75
15,1.0975609756097562,7.777777777777778,1.6206753253936768,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.6246871948242188,2.75
15,1.0975609756097562,7.777777777777778,1.6288104057312012,2.75
15,1.0975609756097562,7.777777777777778,1.6327757835388184,2.75
15,1.0975609756097562,7.777777777777778,1.636692762374878,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.6406824588775635,2.73
15,1.0975609756097562,7.777777777777778,1.644566297531128,2.75
15,1.0975609756097562,7.777777777777778,1.6485061645507812,2.75
15,1.0975609756097562,7.777777777777778,1.6525516510009766,2.75
15,1.0975609756097562,7.777777777777778,1.6566290855407715,2.75
15,1.0975609756097562,7.777777777777778,1.6606316566467285,2.77
15,1.0975609756097562,7.777777777777778,1.6646528244018555,2.75
15,1.0975609756097562,7.777777777777778,1.6686599254608154,2.75
15,1.0975609756097562,7.777777777777778,1.672631025314331,2.75
15,1.0975609756097562,7.777777777777778,1.6766574382781982,2.7800000000000002
15,1.0975609756097562,7.777777777777778,1.680802822113037,2.75
15,1.0975609756097562,7.777777777777778,1.684816837310791,2.75
15,1.0975609756097562,7.777777777777778,1.6886355876922607,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.6924912929534912,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.6964082717895508,2.77
15,1.0975609756097562,7.777777777777778,1.700300931930542,2.75
15,1.0975609756097562,7.777777777777778,1.7034060955047607,2.75
15,1.0975609756097562,7.777777777777778,1.7074573040008545,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.71142578125,2.75
15,1.0975609756097562,7.777777777777778,1.715498924255371,2.75
15,1.0975609756097562,7.777777777777778,1.7195062637329102,2.7600000000000002
15,1.0975609756097562,7.777777777777778,1.7235262393951416,2.75
